SAMPLE_TIME;CHL_A;;;;;;
12/11/04 14:09;0.41762;;;;;;
12/11/04 14:09;0.52438;;;;;;
12/11/04 14:09;0.53694;;;;;;
12/11/04 14:09;0.52752;;;;;;
12/11/04 12:50;0.23236;;;;;;
12/11/04 12:50;0.29516;;;;;;
12/11/04 12:50;0.36424;;;;;;
12/11/04 12:50;0.35482;;;;;;
12/11/04 11:18;0.3768;;;;;;
12/11/04 11:18;0.3768;;;;;;
12/11/04 11:18;0.33284;;;;;;
12/11/04 11:18;0.43646;;;;;;
2/9/04 16:11;0.3925;;;;;;
2/9/04 16:11;0.4553;;;;;;
2/9/04 16:11;0.38622;;;;;;
2/9/04 16:11;0.36738;;;;;;
2/9/04 14:25;0.36424;;;;;;
2/9/04 14:25;0.34226;;;;;;
2/9/04 14:25;0.3297;;;;;;
2/9/04 14:25;0.2669;;;;;;
2/9/04 10:55;0.27946;;;;;;
2/9/04 10:55;0.32656;;;;;;
2/9/04 10:55;0.32342;;;;;;
2/9/04 10:55;0.33284;;;;;;
5/8/04 12:05;0.37052;;;;;;
5/8/04 12:05;0.39564;;;;;;
5/8/04 12:05;0.29516;;;;;;
5/8/04 12:05;0.27004;;;;;;
5/8/04 10:25;0.30458;;;;;;
5/8/04 10:25;0.31086;;;;;;
5/8/04 10:25;0.31086;;;;;;
5/8/04 10:25;0.29516;;;;;;
5/8/04 9:50;0.75046;;;;;;
5/8/04 9:50;0.33598;;;;;;
5/8/04 9:50;0.27318;;;;;;
5/8/04 9:50;0.32028;;;;;;
11/5/04 11:50;0.94828;;;;;;
11/5/04 11:50;0.62172;;;;;;
11/5/04 11:50;0.66882;;;;;;
11/5/04 11:50;0.5966;;;;;;
11/5/04 11:40;0.65312;;;;;;
11/5/04 11:40;0.3768;;;;;;
11/5/04 11:40;0.59032;;;;;;
11/5/04 9:30;0.56834;;;;;;
11/5/04 9:30;0.60288;;;;;;
11/5/04 9:30;0.4867;;;;;;
11/5/04 9:30;0.68452;;;;;;
11/2/04 12:10;0.50868;;;;;;
11/2/04 12:10;0.49926;;;;;;
11/2/04 12:10;0.49298;;;;;;
11/2/04 12:10;0.49926;;;;;;
11/2/04 11:05;0.34226;;;;;;
11/2/04 11:05;0.33912;;;;;;
11/2/04 11:05;0.61544;;;;;;
11/2/04 11:05;0.35482;;;;;;
11/2/04 10:15;0.47728;;;;;;
11/2/04 10:15;0.53694;;;;;;
11/2/04 10:15;0.51496;;;;;;
11/2/04 10:15;0.43018;;;;;;
8/1/04 14:25;0.52891;;;;;;
8/1/04 14:25;0.57085;;;;;;
8/1/04 14:25;0.588558;;;;;;
8/1/04 14:25;0.555472;;;;;;
8/1/04 11:00;0.61512;;;;;;
8/1/04 11:00;0.503746;;;;;;
8/1/04 11:00;1.636592;;;;;;
8/1/04 11:00;0.490698;;;;;;
8/1/04 10:00;0.317812;;;;;;
8/1/04 10:00;0.30523;;;;;;
8/1/04 10:00;0.325268;;;;;;
8/1/04 10:00;0.399828;;;;;;
16/12/05 10:48;0.70735;;;;;;
16/12/05 10:48;0.80367;;;;;;
16/12/05 10:48;0.55685;;;;;;
16/12/05 10:48;0.61103;;;;;;
16/12/05 10:30;1.44179;;;;;;
16/12/05 10:30;2.18827;;;;;;
16/12/05 10:30;1.60433;;;;;;
16/12/05 10:30;1.27022;;;;;;
16/12/05 9:20;0.41237;;;;;;
16/12/05 9:20;0.47257;;;;;;
16/12/05 9:20;0.51471;;;;;;
16/12/05 9:20;0.49063;;;;;;
27/10/05 13:00;0.37324;;;;;;
27/10/05 13:00;0.58996;;;;;;
27/10/05 13:00;0.52675;;;;;;
27/10/05 13:00;0.52976;;;;;;
27/10/05 12:00;0.42441;;;;;;
27/10/05 12:00;0.55986;;;;;;
27/10/05 12:00;0.70735;;;;;;
27/10/05 12:00;0.31003;;;;;;
27/10/05 10:15;0.17458;;;;;;
27/10/05 10:15;0.22876;;;;;;
27/10/05 10:15;0.23779;;;;;;
27/10/05 10:15;0.3612;;;;;;
13/9/05 13:10;0.14749;;;;;;
13/9/05 13:10;0.1204;;;;;;
13/9/05 13:10;0.07826;;;;;;
13/9/05 13:10;0.09331;;;;;;
13/9/05 10:55;0.1505;;;;;;
13/9/05 10:55;0.10836;;;;;;
13/9/05 10:55;0.12943;;;;;;
13/9/05 10:55;0.16555;;;;;;
13/9/05 9:59;0.21672;;;;;;
13/9/05 9:59;0.22876;;;;;;
13/9/05 9:59;0.1204;;;;;;
13/9/05 9:59;0.20167;;;;;;
9/8/05 14:45;0.43332;;;;;;
9/8/05 14:45;0.40506;;;;;;
9/8/05 14:45;0.38622;;;;;;
9/8/05 14:45;0.38622;;;;;;
9/8/05 10:45;0.25748;;;;;;
9/8/05 10:45;0.26062;;;;;;
9/8/05 10:45;0.2983;;;;;;
9/8/05 10:45;0.32656;;;;;;
9/8/05 0:00;0.39564;;;;;;
9/8/05 0:00;0.33912;;;;;;
9/8/05 0:00;0.29202;;;;;;
9/8/05 0:00;0.37994;;;;;;
29/6/05 15:00;0.32508;;;;;;
29/6/05 15:00;0.33411;;;;;;
29/6/05 15:00;0.31304;;;;;;
29/6/05 15:00;0.35217;;;;;;
29/6/05 12:25;0.24381;;;;;;
29/6/05 12:25;0.2709;;;;;;
29/6/05 12:25;0.24381;;;;;;
29/6/05 12:25;0.25585;;;;;;
29/6/05 11:10;0.33712;;;;;;
29/6/05 11:10;0.34615;;;;;;
29/6/05 11:10;0.34013;;;;;;
29/6/05 11:10;0.31003;;;;;;
23/5/05 14:40;0.37625;;;;;;
23/5/05 14:40;0.51471;;;;;;
23/5/05 14:40;0.55986;;;;;;
23/5/05 14:40;0.51772;;;;;;
23/5/05 13:30;0.43645;;;;;;
23/5/05 13:30;0.39732;;;;;;
23/5/05 13:30;0.38829;;;;;;
23/5/05 13:30;0.35819;;;;;;
23/5/05 11:30;0.14147;;;;;;
23/5/05 11:30;0.40936;;;;;;
23/5/05 11:30;0.16555;;;;;;
23/5/05 11:30;0.16254;;;;;;
18/4/05 14:55;0.8127;;;;;;
18/4/05 14:55;0.74046;;;;;;
18/4/05 14:55;0.76454;;;;;;
18/4/05 14:55;0.61103;;;;;;
18/4/05 14:00;0.42441;;;;;;
18/4/05 14:00;0.49665;;;;;;
18/4/05 14:00;0.52976;;;;;;
18/4/05 14:00;0.2709;;;;;;
18/4/05 12:25;0.29799;;;;;;
18/4/05 12:25;3.2207;;;;;;
18/4/05 12:25;5.6287;;;;;;
18/4/05 12:25;0.49966;;;;;;
7/3/05 13:20;0.50869;;;;;;
7/3/05 13:20;0.40334;;;;;;
7/3/05 13:20;0.40936;;;;;;
7/3/05 13:20;0.37023;;;;;;
7/3/05 12:25;0.37926;;;;;;
7/3/05 12:25;0.34013;;;;;;
7/3/05 12:25;0.26488;;;;;;
7/3/05 12:25;0.21672;;;;;;
7/3/05 11:05;0.34013;;;;;;
7/3/05 11:05;0.49063;;;;;;
7/3/05 11:05;0.50267;;;;;;
